[2022-07-01 09:57:39] [    INFO] 选择点击：['xpath', "//span[normalize-space()='刘勇']"] (basics.py:107)
[2022-07-01 09:57:39] [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[2]/div[2]/section/div/div/form/div/div[3]/div/button[1]/span') (basics.py:51)
[2022-07-01 09:57:39] [    INFO] 点击元素：('xpath', '//*[@id="app"]/div/div[2]/div[2]/section/div/div/form/div/div[3]/div/button[1]/span') (basics.py:110)
[2022-07-01 09:57:40] [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[2]/div[2]/section/div/div/form/div/div[3]/div/button[2]/span') (basics.py:51)
[2022-07-01 09:57:40] [    INFO] 点击元素：('xpath', '//*[@id="app"]/div/div[2]/div[2]/section/div/div/form/div/div[3]/div/button[2]/span') (basics.py:110)
[2022-07-01 09:57:42] [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[2]/div[2]/section/div/div/div[1]/div') (basics.py:51)
[2022-07-01 09:57:42] [    INFO] 点击元素：('xpath', '//*[@id="app"]/div/div[2]/div[2]/section/div/div/div[1]/div') (basics.py:110)
[2022-07-01 09:57:43] [    INFO] 查找元素：('xpath', "//input[@placeholder='请输入姓名或工号']") (basics.py:51)
[2022-07-01 09:57:43] [    INFO] 输入文本：18650893 (basics.py:72)
[2022-07-01 09:57:45] [    INFO] 查找元素：['xpath', "//div[@class='overflow-ellispe el-col el-col-8'][normalize-space()='18650893']"] (basics.py:51)
[2022-07-01 09:57:45] [    INFO] 选择点击：['xpath', "//div[@class='overflow-ellispe el-col el-col-8'][normalize-space()='18650893']"] (basics.py:107)
[2022-07-01 09:57:45] [    INFO] 查找元素：('xpath', "//button[@class='el-button el-button--primary el-button--medium']//span[contains(text(),'确定')]") (basics.py:51)
[2022-07-01 09:57:45] [    INFO] 点击元素：('xpath', "//button[@class='el-button el-button--primary el-button--medium']//span[contains(text(),'确定')]") (basics.py:110)
[2022-07-01 09:57:46] [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[2]/div[2]/section/div/div/form/div/div[1]/div/div/div/div/input') (basics.py:51)
[2022-07-01 09:57:46] [    INFO] 输入文本：18650893 (basics.py:81)
[2022-07-01 09:57:50] [    INFO] 查找元素：['xpath', "//span[normalize-space()='18650893']"] (basics.py:51)
[2022-07-01 09:57:50] [    INFO] 选择点击：['xpath', "//span[normalize-space()='18650893']"] (basics.py:107)
[2022-07-01 09:57:50] [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[2]/div[2]/section/div/div/form/div/div[3]/div/button[1]/span') (basics.py:51)
[2022-07-01 09:57:50] [    INFO] 点击元素：('xpath', '//*[@id="app"]/div/div[2]/div[2]/section/div/div/form/div/div[3]/div/button[1]/span') (basics.py:110)
[2022-07-01 09:57:51] [    INFO] 查找元素：('xpath', "//button[@type='button']//span[contains(text(),'配置') or contains(text(),'编辑')]") (basics.py:51)
[2022-07-01 09:57:51] [    INFO] 点击元素：('xpath', "//button[@type='button']//span[contains(text(),'配置') or contains(text(),'编辑')]") (basics.py:110)
[2022-07-01 09:57:51] [    INFO] 查找元素：['xpath', "//div[@class='el-tabs__nav is-left']//div[contains(text(),'组织')]"] (basics.py:51)
[2022-07-01 09:57:51] [    INFO] 设置权限：['xpath', "//div[@class='el-tabs__nav is-left']//div[contains(text(),'组织')]"] (basics.py:184)
[2022-07-01 09:57:51] [    INFO] 查找元素：['xpath', "//div[@id='pane-1']//label[@class='el-checkbox is-checked']//span[@class='el-checkbox__inner']"] (basics.py:51)
[2022-07-01 09:57:51] [    INFO] 查找元素：['xpath', "//div[@id='pane-1']//label[@class='el-checkbox is-checked']//span[@class='el-checkbox__inner']"] (basics.py:51)
[2022-07-01 09:57:51] [    INFO] 清除权限：['xpath', "//div[@id='pane-1']//label[@class='el-checkbox is-checked']//span[@class='el-checkbox__inner']"] (basics.py:206)
[2022-07-01 09:57:51] [    INFO] 查找元素：['xpath', "//div[@id='pane-1']//span[@class='el-checkbox__label'][contains(text(),'itel事业部')]"] (basics.py:51)
[2022-07-01 09:57:52] [    INFO] 设置权限：['xpath', "//div[@id='pane-1']//span[@class='el-checkbox__label'][contains(text(),'itel事业部')]"] (basics.py:184)
[2022-07-01 09:57:52] [    INFO] 查找元素：['xpath', "//div[@id='pane-1']//span[@class='el-checkbox__label'][contains(text(),'东非地区部')]"] (basics.py:51)
[2022-07-01 09:57:52] [    INFO] 设置权限：['xpath', "//div[@id='pane-1']//span[@class='el-checkbox__label'][contains(text(),'东非地区部')]"] (basics.py:184)
[2022-07-01 09:57:52] [    INFO] 查找元素：('xpath', "//div[@class='btnContainer']//span[contains(text(),'确定')]") (basics.py:51)
[2022-07-01 09:57:52] [    INFO] 点击元素：('xpath', "//div[@class='btnContainer']//span[contains(text(),'确定')]") (basics.py:110)
